username,password,role,name,experience,details,expertise,image_path
abc,123,user,,,,,
Dharminder Pandey,123,astrologer,Dharm,22,good,lal kitab,/pandit dummy.png
xyz,123,astrologer,Xyy,10,excellent,lal kitab,/pandit_dummy.png
Pandit Rajesh Gupta,123,astrologer,Raja,11,adorable,lal kitab,/pandit dummy.png
Adarsh,123,user,,,,lal kitab,
Adarsh2,123,astrologer,Raj,9,intelligent,lal kitab,/pandit dummy.png
Adarshraj,123,astrologer,adarshh,21,good,lal kitab,/pandit dummy.png
Maya Desai,123,astrologer,maya,12,knowledgeful,lal kitab,/pandit dummy.png
ccc,123,user,,,,lal kitab,
ram,123,astrologer,ramm,11,okay,lal kitab,/pandit dummy.png
sumit123,123,astrologer,sumit,11,nice,lal kitab,/pandit_dummy.png
